display_name,emoji
Boiled Split Kabuli Chickpeas,🫛
Raw Split Kabuli Chickpeas,🫛
Boiled Whole Kabuli Chickpeas,🫛
Raw Whole Kabuli Chickpeas,🫛
Fresh Cluster Beans,🫘
Boiled Edamame,🫛
Boiled Green Beans,🫛
Fresh Green Beans,🫛
Canned Haricot Beans,🫘
Boiled Haricot Beans,🫘
Raw Haricot Beans,🫘
Boiled Mung Bean Dahl,🫘
Raw Mung Bean Dahl,🫘
Boiled Whole Mung Beans,🫘
Raw Whole Mung Beans,🫘
Fresh Papri Beans,🫘
Boiled Pigeon Pea Dahl,🫘
Raw Pigeon Pea Dahl,🫘
Boiled Whole Pigeon Peas,🫛
Raw Whole Pigeon Peas,🫛
Boiled Pinto Beans,🫘
Raw Pinto Beans,🫘
Refried Pinto Beans,🫘
Canned Red Kidney Beans,🫘
Boiled Red Kidney Beans,🫘
Raw Red Kidney Beans,🫘
Boiled Runner Beans,🫘
Fresh Runner Beans,🫘
Boiled Soya Beans,🫘
Raw Soya Beans,🫘
Fresh Sword Beans,🫘
Boiled Mung Beansprouts,🫘
Fresh Mung Beansprouts,🫘
Stir-fried Mung Beansprouts,🫘
"Beer, Standard Bitter (<4% ABV)",🍺
Premium Bitter Beer,🍺
Strong Bitter Beer (>5% ABV),🍺
Boiled Beetroot,🌰
Pickled Beetroot,🌰
Fresh Beetroot,🌰
Fresh Bele,🍛
Fresh Betel Leaves,🥜
Betel Nuts,🥜
Homemade Aubergine and Potato Bhaji,🥔
"Homemade Mixed Vegetable Bhaji (Aubergine, Pea, Potato, Cauliflower)",🥔
Homemade Cabbage and Pea Bhaji,🥬
Homemade Cabbage and Potato Bhaji,🥔
Cabbage and Potato Bhaji,🥔
Cabbage and Spinach Bhaji,🥬
Homemade Cabbage Bhaji,🥬
"Homemade Carrot, Potato and Pea Bhaji",🥔
Homemade Cauliflower and Potato Bhaji,🥔
Homemade Mixed Vegetable Bhaji with Cauliflower,🥦
Homemade Cauliflower Bhaji,🥦
Mixed Vegetable Bhaji with Cauliflower and Potato,🥔
Green Bean Bhaji,🫛
Homemade Karela Bhaji,🍛
Homemade Mushroom Bhaji,🍄
Homemade Mustard Leaf and Spinach Bhaji,🥬
Homemade Mustard Leaf Bhaji,🥬
Homemade Bangladeshi Okra Bhaji,🥒
Homemade Islami Okra Bhaji,🥒
Homemade Pea Bhaji,🫛
Homemade Potato and Fenugreek Leaf Bhaji,🥔
Homemade Potato and Green Pepper Bhaji,🥔
Homemade Potato and Onion Bhaji,🥔
"Homemade Potato, Onion and Mushroom Bhaji",🥔
"Homemade Potato, Spinach and Cauliflower Bhaji",🥔
Homemade Potato Bhaji,🥔
Homemade Spinach and Potato Bhaji,🥔
Homemade Spinach Bhaji,🥬
Homemade Turnip and Onion Bhaji,🌰
Homemade Turnip Bhaji,🌰
Punjabi Vegetable Bhaji,🥦
Homemade Mixed Vegetable Bhaji,🥦
Bicarbonate of Soda,🍛
Plain Digestive Biscuits,🍪
Oat Digestive Biscuits,🍪
Ginger Nut Biscuits,🥜
Homemade Ginger Nut Biscuits,🥜
Iced Biscuits,🍪
Jam-Filled Biscuits,🍪
Homemade Melting Moments Biscuits,🍪
Homemade Plain Biscuits,🍪
Reduced-Fat Plain Biscuits,🍪
Semi-Sweet Biscuits,🍪
Sweet Shortbread Biscuits,🍪
Homemade Wholemeal Biscuits,🍪
Boiled Black Gram (Chilki Urad Dahl),🫘
Raw Black Gram (Chilki Urad Dahl),🫘
Boiled Black Gram (Duhli Urad Dahl),🫘
Raw Black Gram (Duhli Urad Dahl),🫘
Boiled Black Gram (Urad Gram),🫘
Raw Black Gram (Urad Gram),🫘
Fresh Blackberries,🍇
Stewed Blackberries with Sugar,🍇
Stewed Blackberries,🍇
Stewed Blackberry and Apple with Sugar,🍇
Stewed Blackberry and Apple,🍇
Diluted Blackcurrant Squash,🍇
Blackcurrant Squash Concentrate,🍇
Fresh Blackcurrants,🍇
Stewed Blackcurrants with Sugar,🍇
Stewed Blackcurrants,🍇
Homemade Blancmange,🍛
Blueberries,🫐
Bombay Mix,🍛
Bounty Bar,🍫
Wheat Bran,🌾
Homemade Brandy Snaps,🍛
Brazil Nuts,🥜
Brazil Nuts in Shell,🥜
Homemade Bread Pudding,🍞
Brown Crusty Rolls,🍞
Soft Brown Rolls,🍞
Malted Wheat Rolls,🌾
White Crusty Rolls,🍞
Soft White Rolls,🍞
Wholemeal Rolls,🍞
Brown Bread,🍞
Toasted Brown Bread,🍞
Ciabatta Bread,🍞
Garlic and Herb Bread,🧄
Malted Fruit Bread,🍞
Malted Wheat Bread,🌾
Peshwari Naan,🍞
Plain Naan,🍞
White Pita Bread,🍞
Seeded Bread,🍞
Homemade White Soda Bread,🍞
Wheatgerm Bread,🌾
White Bread,🍞
White Crusty Bread,🍞
Danish White Bread,🍞
Farmhouse White Bread,🍞
French Baguette,🥖
Premium White Bread,🍞
Sliced White Bread,🍞
Fried White Bread,🍞
Toasted White Bread,🍞
High-Fiber White Bread,🍞
Toasted High-Fiber White Bread,🍞
Wholemeal Bread,🍞
Toasted Wholemeal Bread,🍞
Boiled Breadfruit,🍞
Fresh Breadfruit,🍞
Dried Breadnut Seeds,🥜
Plain Breadsticks,🍞
Fortified Bran Flakes,🏰
Fortified Bran Cereal,🏰
Fortified Cornflakes,🏰
Frosted Cornflakes,🌽
Unfortified Cornflakes,🏰
Crunchy Clusters Cereal,🌾
Crunchy Muesli with Nuts,🥜
Fortified Fruit and Fiber Cereal,🏰
Plain Instant Oatmeal,🌾
Fortified Malted Flakes,🏰
Fortified Malted Wheat Cereal,🏰
Fortified Multigrain Hoops,🏰
Puffed Wheat Cereal,🌾
Fortified Rice Crispies,🍚
Ricicles,🍚
Fruit Shredded Wheat,🌾
Shredded Wheat,🌾
Fortified Weetabix,🏰
Unfortified Weetabix,🏰
Boiled Green Broccoli,🥦
Steamed Green Broccoli,🥦
Fresh Green Broccoli,🥦
Steamed Green Broccoli,🥦
Boiled Purple Sprouting Broccoli,🥦
Fresh Purple Sprouting Broccoli,🥦
Brown Fruity Sauce,🍎
Reduced Sugar Brown Sauce,🍛
Boiled Brussels Sprouts,🌱
Fresh Brussels Sprouts,🌱
Homemade Bubble and Squeak (Rapeseed Oil),🍛
Homemade Bubble and Squeak (Sunflower Oil),🍛
Buckwheat Groats,🌾
Boiled Cabbage,🥬
Fresh Cabbage,🥬
Fresh Chinese Cabbage,🥬
Boiled Green Cabbage,🥬
Fresh Green Cabbage,🥬
Boiled Red Cabbage,🥬
Red Cabbage with Apple,🥬
Fresh Red Cabbage,🥬
Boiled White Cabbage,🥬
Fresh White Cabbage,🥬
Cake Rusks,🍰
Battenberg Cake,🍰
Carrot Cake with Icing,🍰
Homemade Carrot Cake with Topping,🍰
Homemade Cherry Cake,🍰
Homemade Coconut Cake,🍰
Fruit Cake,🍰
Homemade Rich Fruit Cake,🍰
Homemade Rich Fruit Cake with Icing,🍰
Homemade Wholemeal Fruit Cake,🍰
Homemade Lardy Cake,🍰
Loaf Cake,🍰
Homemade Fatless Sponge Cake,🍰
Homemade Sponge Cake,🍰
Soft Iced Sponge Cake,🍰
Homemade Swiss Roll,🍞
'Healthy Eating' Cakes,🍰
Homemade Crispie Cakes,🍰
Fancy Iced Individual Cakes,🍰
Homemade Callaloo with Cho Cho,🥔
Homemade Callaloo with Okra,🥔
Homemade Spinach Cannelloni,🥬
Homemade Vegetable Cannelloni,🥦
Caraway Seeds,🍛
Ground Cardamom,🍛
Carrot Juice,🥕
Boiled Mature Carrots,🥕
Microwaved Mature Carrots,🥕
Raw Mature Carrots,🥕
Boiled Young Carrots,🥕
Canned Young Carrots,🥕
Raw Young Carrots,🥕
Cashew Fruit,🥜
Plain Cashew Nuts,🥜
Roasted and Salted Cashew Nuts,🥜
Baked Cassava,🍛
Boiled Cassava,🍛
Raw Frozen Cassava,🧊
Raw Cassava,🍛
Steamed Cassava,🫖
Homemade Bean and Mixed Vegetable Casserole,🫘
Homemade Bean and Root Vegetable Casserole,🫘
Homemade Sweet Potato and Green Banana Casserole,🥔
Homemade Vegetable Casserole,🥦
Homemade Cauliflower with Onions and Chili,🥦
Boiled Cauliflower,🥦
Raw Cauliflower,🥦
Boiled Celeriac,🥬
Raw Celeriac,🥬
Celery Seeds,🥦
Boiled Celery,🥦
Raw Celery,🥦
Chapatis with Fat,🌯
Plain Chapatis,🌯
Boiled Swiss Chard,🥦
Raw Swiss Chard,🥦
Homemade Chelsea Buns,🍰
Fresh Cherries,🍒
Fresh Cherries with Stones,🍒
Glacé Cherries,🍒
Sweetened Stewed Cherries,🍒
Sweetened Stewed Cherries with Stones,🍒
Unsweetened Stewed Cherries,🍒
Unsweetened Stewed Cherries with Stones,🍒
West Indian Cherries,🍒
Dried Chervil,🍛
Dried Chestnuts,🥜
Raw Chestnuts,🥜
Raw Chestnuts in Shell,🥜
Homemade Chevda,🍛
Boiled Pale Chicory,🍺
Raw Pale Chicory,🍺
Homemade Chili Con Carne,🍛
Prepared Chili Con Carne,🍛
Prepared Chili Con Carne with Rice,🍚
Chili Powder,🌶️
Chili Sauce,🌶️
Homemade Bean and Lentil Chili,🫘
Homemade Quorn Chili,🍛
Homemade Vegetable Chili,🥦
Chinese Five Spice,🌶️
Fresh Chives,🌱
Homemade Cho Cho Fritters,🥟
Boiled Cho Cho,🍛
Raw Cho Cho,🍛
Homemade Choux Buns,🍰
Homemade Apple Chutney,🍎
Sweet Mango Chutney,🍛
Tomato Chutney,🍅
Homemade Tomato Chutney,🍅
Dry Cider,🍺
Low-Alcohol Cider,🍺
Strong Cider,🍺
Sweet Cider,🍺
Ground Cinnamon,🍛
Easy-Peel Citrus Fruit,🍋
Whole Easy-Peel Citrus Fruit,🍋
Dried Cloves,🌱
Homemade Coco Fritters,🥟
Cocoa Powder,🍫
Homemade Coconut Ice,🥥
Desiccated Coconut,🥥
Fresh Coconut,🥥
Coffee and Chicory Essence,☕
Cappuccino and Latte Coffee,☕
Regular Coffee,☕
Strong Coffee,☕
Weak Coffee,☕
Instant Coffee,☕
Irish Coffee,☕
Instant Coffee Powder,☕
Coffee Whitener Powder,☕
Cola,🥤
Diet Cola,🥤
"Dried Cole Leaves, Boiled",🥬
Coleslaw,🍛
Light Coleslaw,🍛
Homemade Coo-coo,🍛
Compound Cooking Fat,🧈
Dried Coriander,🥬
Fresh Coriander,🥬
Coriander Seeds,🥬
Homemade Corn Fritters,🥟
Homemade Corn Pudding,🌽
Corn Snacks,🌽
Sifted Cornmeal,🌽
Boiled Courgette,🥒
Dried Courgette,🥒
Fried Courgette in Corn Oil,🌽
Fried Courgette in Rapeseed Oil,🥒
Raw Courgette,🥒
Roasted Courgette,🥒
Cooked Couscous,🍛
Raw Couscous,🍛
Homemade Wholemeal Crackers,🌾
Cranberries,🫒
Cranberry Juice Drink,🫒
Homemade Crème Caramel,🍯
Store-bought Crème Caramel,🍯
Full-fat Crème Fraîche,🧈
Half-fat Crème Fraîche,🧈
Rye Crispbread,🍞
Croissants,🥐
Homemade Apple Crumble,🍎
Homemade Fruit Crumble,🍎
Store-bought Fruit Crumble,🍎
Homemade Wholemeal Fruit Crumble,🍎
Homemade Vegetable and Tomato Crumble,🥦
Homemade Wholemeal Vegetable and Tomato Crumble,🥦
Homemade Vegetable Crumble with White Sauce,🥦
Homemade Wholemeal Vegetable Crumble with White Sauce,🥦
Homemade Pie Filling Crumble,🥧
Toasted Crumpets,🍞
Raw Cucumber,🥒
Cumin Seeds,🍛
Boiled Curly Kale,🥦
Raw Curly Kale,🥦
Currant Buns,🍰
Toasted Currant Buns,🍰
Currants,🍛
Fresh Curry Leaves,🍛
Curry Paste,🍛
Curry Powder,🍛
Mixed Curry Powder,🍛
Homemade Almond Curry,🍛
Homemade Bhindi Subji Curry,🍛
Homemade Black Gram and Kidney Bean Curry,🍛
Homemade Bengali Black Gram Curry,🍛
Homemade Gujarati Black Gram Curry,🍛
Homemade Black-eye Bean Curry,🍛
Homemade Punjabi Black-eye Bean Curry,🍛
Homemade Bombay Potato Curry,🥔
Homemade Masala Cabbage Curry,🍛
Homemade Cauliflower and Potato Curry,🥔
Homemade Chickpea Dahl and Spinach Curry,🍛
Homemade Chickpea Dhal Curry,🍛
Homemade British-style Chickpea Curry,🍛
Homemade Chickpea and Potato Curry,🥔
Homemade Gujarati Chickpea and Tomato Curry,🍛
Homemade Punjabi Chickpea and Tomato Curry,🍛
Homemade Gujarati Chickpea Curry,🍛
Homemade Courgette and Potato Curry,🥔
Homemade Dudhi Kofta Curry,🍛
Homemade Masala Green Bean Curry,🍛
Homemade Karela Curry,🍛
Homemade Red Lentil and Mung Bean Dahl Curry,🍛
Homemade Punjabi Red Lentil and Tomato Curry,🍛
Homemade Red Lentil and Tomato Curry,🍛
Homemade British-style Red Lentil and Vegetable Curry,🍛
"Homemade Red Lentil, Mung Bean and Tomato Curry",🍛
Homemade Punjabi Red Lentil Curry,🍛
Homemade Red Lentil Curry,🍛
Homemade Gujarati Whole Lentil Curry,🍛
Homemade Punjabi Whole Lentil Curry,🍛
Homemade Mung Bean Dahl and Spinach Curry,🍛
Homemade Mung Bean Dahl and Tomato Curry,🍛
Homemade Bengali Mung Bean Dahl Curry,🍛
Homemade Mung Bean and Turnip Greens Curry,🍛
Homemade Gujarati Whole Mung Bean Curry,🍛
Homemade Punjabi Whole Mung Bean Curry,🍛
Homemade Pea and Potato Curry,🥔
Homemade Pigeon Pea Dahl and Tomato Curry,🍛
Pigeon Pea Dahl Curry with Tomatoes and Peanuts,🍛
Pigeon Pea Dahl Curry,🍛
Potato and Pea Curry,🥔
Gujarati Potato Curry,🥔
Punjabi Potato Curry,🥔
Red Kidney and Mung Bean Curry,🍛
Gujarati Red Kidney Bean Curry,🍛
Punjabi Red Kidney Bean Curry,🍛
Spinach and Potato Masala Curry,🥔
Thai Stir-Fry Vegetable Curry,🍛
Tinda Gourd and Potato Curry,🥔
Mixed Vegetable Curry,🍛
Sweet Vegetable Curry,🍛
Islami Vegetable Curry,🍛
Pakistani Vegetable Curry,🍛
Ready-Made Vegetable Curry,🍛
Vegetable Curry with Rice,🍚
West Indian Vegetable Curry,🍛
Yogurt Vegetable Curry,🍛
Custard Apple (Bullock's Heart),🍎
Custard Powder,🍛
Confectioners' Custard,🍛
Canned Custard,🥫
Mixed Dahl,🫘
Dal Dhokari,🍛
Raw Damsons,🍏
Raw Damsons with Stones,🍏
Stewed Damsons with Sugar,🍛
Stewed Damsons with Sugar and Stones,🍛
Stewed Damsons,🍛
Stewed Damsons with Stones,🍛
Dried Dates,🍇
Dried Dates with Stones,🍇
Fresh Dates,🍇
Fresh Dates with Stones,🍇
Devilled Kidneys,🍛
Dill Seeds,🌱
Dried Dill,🌱
Fresh Dill,🌱
Vegetable Dosa Filling,🥦
Iced Ring Doughnuts,🥯
Jam Doughnuts,🥯
French Dressing,🍛
Fat-Free French Dressing,🧈
Homemade French Dressing,🍛
Lemon and Oil Dressing,🍋
Thousand Island Dressing,🍛
Yogurt Dressing,🍛
Mixed Dried Fruit,🍎
Boiled Drumstick Leaves,🍗
Raw Drumstick Leaves,🍗
Boiled Drumstick Pods,🍗
Raw Drumstick Pods,🍗
Dumplings,🥟
Durian,🍛
Eccles Cakes,🍰
Elderberries,🫒
Raw Endive,🍛
Carbonated Energy Drink,🧃
Homemade Falafel,🧆
Low-Fat Spread (26-39%),🧈
Low-Fat Spread with Olive Oil (26-39%),🧈
Low-Fat Polyunsaturated Spread (26-39%),🧈
Reduced-Fat Spread (41-62%),🧈
Reduced-Fat Spread with Olive Oil (41-62%),🧈
Reduced-Fat Polyunsaturated Spread (41-62%),🧈
Reduced-Fat Spread (62-75%),🧈
Reduced-Fat Polyunsaturated Spread (62-75%),🧈
Feijoa,🍛
Fennel Seeds,🥬
Boiled Florence Fennel,🥬
Raw Florence Fennel,🥬
Raw Fenugreek Leaves,🥬
Fenugreek Seeds,🍛
Fig Rolls,🌰
Stewed Dried Figs with Sugar,🌰
Stewed Dried Figs,🌰
Semi-Dried Figs,🌰
Dried Figs,🌰
Fresh Green Figs,🌰
Pastry Flan Case,🥐
Sponge Flan Case,🍛
Lentil and Tomato Flan,🍅
Wholemeal Lentil and Tomato Flan,🍅
Fruit Pastry Flan,🥐
Spinach Flan,🥬
Wholemeal Spinach Flan,🥬
Fruit Sponge Flan,🍎
Vegetable Flan,🥦
Wholemeal Vegetable Flan,🥦
Flapjacks,🌾
Store-Bought Flapjacks,🌾
Brown Chapati Flour,🌯
White Chapati Flour,🌯
Corn Flour,🌽
Gari (Cassava Flour),🌾
Gram Flour,🫘
Foxtail Millet Flour,🌾
Rice Flour,🍚
Rye Flour,🍛
Soya Flour,🫛
Strong White Bread Flour,🍞
Brown Wheat Flour,🌾
Strong Brown Bread Flour,🍞
Plain White Flour,🌾
Self-Raising White Flour,🌾
Wholemeal Flour,🌾
Strong Wholemeal Bread Flour,🍞
Self-Raising Wholemeal Flour,🌾
Children's Fruit Fromage Frais (Fortified),🏰
Fat-Free Fruit Fromage Frais,🍎
Fat-Free Natural Fromage Frais,🥛
Canned Fruit Cocktail in Juice,🍎
Canned Fruit Cocktail in Syrup,🍎
Homemade Fruit Fool,🍎
Fruit Gums,🍎
Sugar-Free Carbonated Fruit Drink,🍎
Carbonated Fruit Drink,🍎
Sugar-Free Fruit Drink,🍎
Diluted Fruit Squash,🍎
Diluted Sugar-Free Fruit Squash,🍎
Sugar-Free Fruit Squash Concentrate,🍎
Ready-to-Drink Fruit Squash,🍎
Fruit Squash Concentrate,🍎
Mixed Fruit Juice,🍎
Fruit Pastilles,🍎
Homemade Fruit Salad,🥗
Homemade Fudge,🍫
Sweet Potato Fufu,🥔
Yam Fufu,🍠
Gajjeralla,🍛
Garam Masala,🍛
Homemade Garlic Mushrooms,🧄
Garlic Powder,🧄
Raw Garlic,🧄
Frozen Fruit Gateau,🍎
Gelatine,🥫
Vegetable Ghee,🥦
Pickled Gherkins,🥒
Raw Gherkins,🥒
Fresh Ginger,🫚
Ground Ginger,🫚
Homemade Gingerbread,🍞
Liquid Glucose,🍛
Raw Cooking Gooseberries,🫒
Stewed Gooseberries with Sugar,🫒
Stewed Gooseberries (Unsweetened),🫒
Raw Dessert Gooseberries,🫒
Homemade Goulash,🍛
Raw Ash Gourd,🍐
Raw Bottle Gourd,🍐
Raw Kantola Gourd,🍐
Raw Karela Gourd,🍐
Raw Ridge Gourd,🍐
Raw Snake Gourd,🍐
Raw Tinda Gourd,🥫
Unsweetened Grape Juice,🍇
Unsweetened Grapefruit Juice,🍇
Canned Grapefruit in Juice,🍇
Fresh Grapefruit,🍇
Fresh Grapefruit (Unpeeled),🍇
Grapes,🍇
Grapes with Seeds,🍇
Green Grapes,🍇
Red Grapes,🍇
Gravy Granules,🍛
Prepared Gravy,🍛
Dried Green Beans,🫛
Fresh Greengages,🍏
Fresh Greengages (Unpitted),🍏
Stewed Greengages with Sugar,🍏
Stewed Greengages with Sugar (Unpitted),🍏
Stewed Greengages (Unpitted),🍏
Stewed Greengages,🍏
Grenadilla Pulp,🍛
Homemade Guacamole,🥑
Fresh Guava,🍑
Whole Fresh Guava,🍛
Homemade Gulab Jamun,🍛
Store-Bought Gulab Jamun,🍛
Homemade Carrot Halva,🥕
Homemade Semolina Halva,🍛
Hazelnuts,🥜
Hazelnuts in Shell,🥜
Diluted High Juice,🧃
Sugar-Free High Juice Concentrate,🧃
High Juice Concentrate,🧃
Homemade Hollandaise Sauce,🍛
Horlicks Powder,🍛
Horseradish Sauce,🐴
Fresh Horseradish,🐴
Homemade Hot Cross Buns,🍰
Hummus,🍛
Store-Bought Iced Buns,🍰
Homemade Fondant Icing,🍰
Homemade Glacé Icing,🍰
Homemade Royal Icing,🍰
Unfortified Malted Drink Powder,🏰
Fresh Jackfruit,🍎
Jaffa Cakes,🍰
Jam Tarts,🍓
Mixed Fruit Jam with Seeds,🍓
Reduced Sugar Jam,🍓
Stone Fruit Jam,🍓
Jambu Fruit,🍎
Homemade Jellabi,🥮
Plain Jelly,🥮
Sugar-Free Jelly,🥮
Jujube,🍛
Raw Kalabasu,🍛
Raw Katla,🍛
Khadhi,🍛
Khatiyu,🍛
Khichadi with Oil,🍛
Kiwi Fruit,🥝
Kiwi Fruit,🥝
Homemade Knickerbocker Glory,🍛
Boiled Kohlrabi,🍛
Raw Kohlrabi,🍛
Homemade Kulfi,🍛
Fresh Kumquats,🍊
Alcohol-Free Lager,🍺
Extra Strong Lager,🍺
Low-Alcohol Lager,🍺
Premium Lager,🍺
Standard Lager,🍺
Homemade Lasagne,🍛
Retail Lasagne,🍛
Wholemeal Spinach Lasagne,🥬
Retail Vegetable Lasagne,🥦
Wholemeal Vegetable Lasagne,🥦
Sweet Lassi,🍛
Laverbread,🍞
Boiled Leeks,🥬
Raw Leeks,🥬
Roasted Leeks,🥬
Lemon Curd,🍋
Homemade Lemon Curd,🍋
Fresh Lemon Juice,🍋
Fresh Lemon,🍋
Lemon Peel,🍋
Lemonade,🍋
Homemade Lemonade,🍋
Fresh Lemon,🍋
Fresh Lemon,🍋
Whole Lemon,🍋
Homemade Lentil and Nut Roast,🥜
Homemade Lentil and Potato Pie,🥔
Homemade Lentil and Rice Roast,🍚
Fried Lentil Cutlets,🍛
Homemade Lentil Pie,🥧
Homemade Lentil Roast,🍛
Boiled Green and Brown Lentils,🫘
Raw Green and Brown Lentils,🫘
Boiled Red Lentils,🫘
Raw Red Lentils,🫘
Fresh Lettuce,🥬
Diluted Lime Cordial,🍋
Lime Cordial,🍋
Fresh Lime Juice,🍋
Fresh Lime,🍋
Fresh Lime,🍋
High-Strength Liqueurs,🍶
Low-Medium Strength Liqueurs,🍶
Liquorice Allsorts,🍚
Liquorice Powder,🍚
Fresh Loganberries,🫒
Stewed Loganberries with Sugar,🫒
Stewed Loganberries,🫒
Fruit Juice Lollies,🍎
Canned Longans,🥫
Canned Longans in Syrup,🥫
Dried Longans,🍛
Fresh Loquats,🍛
Raw Lotus Tubers,🍛
Lucozade,🧃
Fresh Lychees,🍛
Fresh Lychees,🍛
Salted Macadamia Nuts,🥜
Homemade Macaroon,🍛
Ground Mace,🍛
Maltesers,🍛
Mammie Apple,🍎
Canned Mandarin Oranges,🍊
Green Mango,🍛
Ripe Mango,🍛
Fresh Mango,🍛
Fresh Mangosteen,🍛
Dried Marjoram,🍛
Marmalade,🍛
Boiled Marrow,🍛
Raw Parwal Marrow,🍛
Raw Marrow,🍛
Mars Bar,🍛
Marshmallows,🍛
Homemade Marzipan,🍛
Retail Marzipan,🍛
Boiled Matoki,🍛
Raw Matoki,🍛
Homemade Mayonnaise,🍛
Light Mayonnaise,🍛
Regular Mayonnaise,🍛
Mchicha,🍛
Medlar Fruit,🍎
Melon Seeds,🍈
Cantaloupe Melon,🍈
Cantaloupe Melon (whole),🍈
Cantaloupe Melon (with skin),🍈
Mixed Melon,🍈
Mixed Melon (whole),🍈
Mixed Melon (with skin),🍈
Galia Melon,🍈
Galia Melon (whole),🍈
Galia Melon (with skin),🍈
Watermelon,🍉
Watermelon (whole),🍉
Yellow Melon,🍈
Meringue (homemade),🍛
Methi Aloo,🥔
Mince Pies (homemade),🥧
Mince Pies,🥧
Vegetarian Mincemeat (homemade),🥦
Toasted Mini Breads,🍞
Mint Sauce,🌱
Mint Sauce (homemade),🌱
Dried Mint,🌱
Fresh Mint,🌱
Mixed Curry Spices,🌶️
Dried Mixed Herbs,🌱
Molasses,🍛
Mooli Paratha,🍛
Vegetable Moussaka (homemade),🥦
Vegetable Moussaka,🥦
Fruit Mousse,🍎
Sugar-Free Swiss Muesli,🍛
Swiss Muesli,🍛
Bran Muffins (homemade),🍞
English Muffins,🍞
Toasted English Muffins,🍞
Raw Mulberries,🫒
Sweetened Stewed Mulberries,🫒
Stewed Mulberries,🫒
Dried Mushrooms,🍄
Dried Chinese Mushrooms,🍄
Dried Wood Ear Mushrooms (tender),🍄
"Raw Wood Ear Mushrooms (tender, soaked)",🍄
Dried Wood Ear Mushrooms (tough),🍄
"Raw Wood Ear Mushrooms (tough, soaked)",🍄
Raw Oyster Mushrooms,🍄
Cooked Shiitake Mushrooms,🍄
Dried Shiitake Mushrooms,🍄
White Mushrooms (corn oil fried),🍄
White Mushrooms (rapeseed oil fried),🍄
Raw White Mushrooms,🍄
Boiled White Mushrooms,🍄
Raw Mustard and Cress,🍛
Boiled Mustard Leaves,🥬
Raw Mustard Leaves,🥬
Mustard Powder,🍛
Mustard Seeds,🍛
Prepared Mustard Powder,🍛
Smooth Mustard,🍛
Whole Grain Mustard,🌾
